sample_id,stratum_id,map_classified_label,ground_truth_label,weight_sampling_prob
S01,A1,1,1,1.0
S02,A1,1,1,1.0
S03,A1,1,1,1.0
S04,A1,1,1,1.0
S05,A1,1,1,1.0
S06,A1,1,1,1.0
S07,A1,1,1,1.0
S08,A1,1,3,1.0
S09,A1,1,1,1.0
S10,A1,1,0,1.0
S11,A1,2,2,1.0
S12,A1,2,2,1.0
S13,A1,2,2,1.0
S14,A1,2,2,1.0
S15,A1,2,2,1.0
S16,A1,2,2,1.0
S17,A1,2,2,1.0
S18,A1,2,2,1.0
S19,A1,2,0,1.0
S20,A1,2,2,1.0
S21,A1,3,3,1.0
S22,A1,3,3,1.0
S23,A1,3,3,1.0
S24,A1,3,3,1.0
S25,A1,3,1,1.0
S26,A1,3,3,1.0
S27,A1,3,3,1.0
S28,A1,3,0,1.0
S29,A1,3,3,1.0
S30,A1,3,3,1.0
S31,A1,0,0,1.0
S32,A1,0,0,1.0
S33,A1,0,0,1.0
S34,A1,0,0,1.0
S35,A1,0,0,1.0
S36,A1,0,0,1.0
S37,A1,0,0,1.0
S38,A1,0,1,1.0
S39,A1,0,0,1.0
S40,A1,0,0,1.0
