point_id,label,crop_name,doy_3,doy_6,doy_9
P0001,0,非耕地,-0.6052,-0.5948,-0.5786
P0002,0,非耕地,-0.6491,-0.6327,-0.6889
P0003,0,非耕地,-0.4919,-0.5108,-0.5242
P0004,0,非耕地,-0.5443,-0.5544,-0.5454
P0005,0,非耕地,-0.8824,-0.8621,-0.7857
P0006,0,非耕地,-0.8889,-0.8261,-0.84
P0007,0,非耕地,-0.05,-0.05,-0.05
P0008,0,非耕地,-0.8879,-0.8942,-0.8644
P0009,0,非耕地,-0.7297,-0.6552,-0.5152
P0010,0,非耕地,-0.5259,-0.537,-0.5398
P0011,0,非耕地,-0.7441,-0.7404,-0.7566
P0012,0,非耕地,-0.9818,-0.9902,-0.9695
P0013,0,非耕地,-0.1233,-0.1146,-0.1092
P0014,0,非耕地,-0.05,-0.05,-0.05
P0015,0,非耕地,-0.5933,-0.5734,-0.5957
P0016,0,非耕地,-0.05,-0.05,-0.05
P0017,0,非耕地,-0.0501,-0.0817,-0.0843
P0018,0,非耕地,-0.2714,-0.2824,-0.303
P0019,0,非耕地,-0.8721,-0.8995,-0.9887
P0020,0,非耕地,-0.2018,-0.1252,-0.0623
P0021,0,非耕地,-0.7587,-0.7891,-0.8151
P0022,0,非耕地,-0.5586,-0.5053,-0.4773
P0023,0,非耕地,-0.05,-0.05,-0.05
P0024,0,非耕地,-0.6683,-0.6627,-0.6481
P0025,0,非耕地,-0.8639,-0.8893,-0.8571
P0026,0,非耕地,-0.2372,-0.4474,-0.1871
P0027,0,非耕地,-0.6896,-0.6809,-0.6864
P0028,0,非耕地,-0.7955,-0.8176,-0.8
P0029,0,非耕地,-0.815,-0.9284,-0.9725
P0030,0,非耕地,-0.05,-0.05,-0.05
P0031,0,非耕地,-0.1145,-0.103,-0.0979
P0032,0,非耕地,-0.6662,-0.6792,-0.6671
P0033,0,非耕地,-0.3111,-0.5185,-0.5
P0034,0,非耕地,-0.7665,-0.7959,-0.8201
P0035,0,非耕地,-0.6219,-0.616,-0.6206
P0036,0,非耕地,-0.6644,-0.7054,-0.7316
P0037,0,非耕地,-0.7561,-1.0,-1.0
P0038,0,非耕地,-0.8462,-0.7895,-0.7692
P0039,0,非耕地,-0.2744,-0.2725,-0.2791
P0040,0,非耕地,-0.9211,-0.8462,-0.8148
P0041,0,非耕地,-0.7548,-0.8193,-0.8517
P0042,0,非耕地,-0.6734,-0.6807,-0.6986
P0043,0,非耕地,-0.05,-0.05,-0.05
P0044,0,非耕地,-0.7008,-0.6938,-0.6944
P0045,0,非耕地,-0.4759,-0.4508,-0.4513
P0046,0,非耕地,-0.05,-0.05,-0.05
P0047,0,非耕地,-0.8182,-0.7143,-0.7021
P0048,0,非耕地,-0.4738,-0.4721,-0.4733
P0049,0,非耕地,-0.6268,-0.641,-0.6457
P0050,0,非耕地,-0.8552,-0.8636,-0.8718
P0051,0,非耕地,-0.8947,-0.8636,-0.8031
P0052,0,非耕地,-0.9261,-0.9066,-0.8866
P0053,0,非耕地,-0.7402,-0.7738,-0.7955
P0054,0,非耕地,-0.6907,-0.7677,-0.7987
P0055,0,非耕地,-0.9187,-0.8108,-0.7303
P0056,0,非耕地,-0.8182,-1.0,-1.0
P0057,0,非耕地,-0.9661,-0.9016,-0.9062
P0058,0,非耕地,-0.7388,-0.7768,-0.7994
P0059,0,非耕地,-0.6727,-0.6837,-0.6908
P0060,0,非耕地,-0.05,-0.05,-0.05
P0061,0,非耕地,-0.3488,-0.3937,-0.4382
P0062,0,非耕地,-0.5953,-0.715,-0.7596
P0063,0,非耕地,-0.8,-0.7838,-0.7576
P0064,0,非耕地,-0.05,-0.05,-0.05
P0065,0,非耕地,-0.9286,-0.92,-0.913
P0066,0,非耕地,-0.19,-0.2397,-0.2224
P0067,0,非耕地,-0.8129,-0.7829,-0.744
P0068,0,非耕地,-0.7757,-0.8563,-0.8652
P0069,0,非耕地,-0.5017,-0.4753,-0.4658
P0070,0,非耕地,-0.05,-0.05,-0.05
P0071,0,非耕地,-0.4361,-0.3969,-0.3796
P0072,0,非耕地,-0.4239,-0.3441,-0.3217
P0073,0,非耕地,-0.9695,-0.9483,-0.914
P0074,0,非耕地,-0.9656,-0.9525,-0.9324
P0075,0,非耕地,-0.2029,-0.1885,-0.1782
P0076,0,非耕地,-0.4868,-0.5144,-0.5269
P0077,0,非耕地,-0.7377,-0.6774,-0.6552
P0078,0,非耕地,-0.6229,-0.6342,-0.6452
P0079,0,非耕地,-0.9613,-0.9583,-0.9468
P0080,0,非耕地,-0.6093,-0.6016,-0.6087
P0081,0,非耕地,-0.852,-0.9408,-0.9857
P0082,0,非耕地,-0.5039,-0.7474,-0.8885
P0083,0,非耕地,-0.6863,-0.6117,-0.5304
P0084,0,非耕地,-0.5467,-0.519,-0.5135
P0085,0,非耕地,-0.8985,-0.8787,-0.6769
P0086,0,非耕地,-0.8378,-0.8537,-0.8462
P0087,0,非耕地,-0.6793,-0.6753,-0.6788
P0088,0,非耕地,-0.8935,-0.8953,-0.9018
P0089,0,非耕地,-0.3075,-0.2796,-0.2569
P0090,0,非耕地,-0.568,-0.5676,-0.5763
P0091,0,非耕地,-0.6062,-0.6382,-0.6549
P0092,0,非耕地,-0.6517,-0.681,-0.6996
P0093,0,非耕地,-0.496,-0.5054,-0.502
P0094,0,非耕地,-0.9932,-0.9514,-0.9367
P0095,0,非耕地,-0.1198,-0.103,-0.094
P0096,0,非耕地,-0.5052,-0.5425,-0.5729
P0097,0,非耕地,-0.6007,-0.6151,-0.6341
P0098,0,非耕地,-0.95,-0.9839,-1.0
P0099,0,非耕地,-0.5996,-0.6205,-0.645
P0100,0,非耕地,-0.9452,-0.9701,-0.9385
P0101,0,非耕地,-0.5094,-1.0,-1.0
P0102,0,非耕地,-0.8158,-0.8621,-0.8971
P0103,0,非耕地,-0.9892,-0.9879,-0.981
P0104,0,非耕地,-0.931,-0.9078,-0.9004
P0105,0,非耕地,-0.6158,-0.6202,-0.6296
P0106,0,非耕地,-0.9945,-1.0,-1.0
P0107,0,非耕地,-0.396,-0.3266,-0.2734
P0108,0,非耕地,-0.768,-0.7406,-0.7424
P0109,0,非耕地,-0.6437,-0.6569,-0.6963
P0110,0,非耕地,-0.7042,-0.8306,-0.9436
P0111,0,非耕地,-0.05,-0.05,-0.05
P0112,0,非耕地,-0.1988,-0.2523,-0.2813
P0113,0,非耕地,-0.6276,-0.6546,-0.6768
P0114,0,非耕地,-0.8966,-0.8491,-0.747
P0115,0,非耕地,-0.9025,-0.9371,-0.995
